to_randomly_generated_account,from_totally_fake_account,Cluster,Cluster_Label
A_CAFE,1000,0,High-Value Customers
A_CAFE,1006,0,High-Value Customers
A_CAFE,1087,0,High-Value Customers
A_CAFE,1214,0,High-Value Customers
A_CAFE,1460,0,High-Value Customers
A_CAFE,1490,0,High-Value Customers
A_CAFE,1507,0,High-Value Customers
A_CAFE,1563,0,High-Value Customers
A_CAFE,1569,0,High-Value Customers
A_CAFE,1607,0,High-Value Customers
A_CAFE,1631,0,High-Value Customers
A_CAFE,1642,0,High-Value Customers
A_CAFE,1644,0,High-Value Customers
A_CAFE,1697,0,High-Value Customers
A_CAFE,1703,0,High-Value Customers
A_CAFE,1730,0,High-Value Customers
A_CAFE,1808,0,High-Value Customers
A_CAFE,1823,0,High-Value Customers
A_CAFE,1910,0,High-Value Customers
A_CAFE,1931,0,High-Value Customers
A_CAFE,2071,0,High-Value Customers
A_CAFE,2076,0,High-Value Customers
A_CAFE,2100,0,High-Value Customers
A_CAFE,2108,0,High-Value Customers
A_CAFE,2116,0,High-Value Customers
A_CAFE,2137,0,High-Value Customers
A_CAFE,2152,0,High-Value Customers
A_CAFE,2274,0,High-Value Customers
A_CAFE,2294,0,High-Value Customers
A_CAFE,2331,0,High-Value Customers
A_CAFE,2390,0,High-Value Customers
A_CAFE,2430,0,High-Value Customers
A_CAFE,2518,0,High-Value Customers
A_CAFE,2580,0,High-Value Customers
A_CAFE,2632,0,High-Value Customers
A_CAFE,2641,0,High-Value Customers
A_CAFE,2647,0,High-Value Customers
A_CAFE,2663,0,High-Value Customers
A_CAFE,2711,0,High-Value Customers
A_CAFE,2767,0,High-Value Customers
A_CAFE,2771,0,High-Value Customers
A_CAFE,2778,0,High-Value Customers
A_CAFE,2779,0,High-Value Customers
A_CAFE,2817,0,High-Value Customers
A_CAFE,2862,0,High-Value Customers
A_CAFE,3143,0,High-Value Customers
A_CAFE,3226,0,High-Value Customers
A_CAFE,3269,0,High-Value Customers
A_CAFE,3296,0,High-Value Customers
A_CAFE,3317,0,High-Value Customers
A_CAFE,3456,0,High-Value Customers
A_CAFE,3458,0,High-Value Customers
A_CAFE,3498,0,High-Value Customers
A_CAFE,3580,0,High-Value Customers
A_CAFE,3599,0,High-Value Customers
A_CAFE,3638,0,High-Value Customers
A_CAFE,3868,0,High-Value Customers
A_CAFE,3890,0,High-Value Customers
A_CAFE,3939,0,High-Value Customers
A_CAFE,4009,0,High-Value Customers
A_CAFE,4021,0,High-Value Customers
A_CAFE,4044,0,High-Value Customers
A_CAFE,4125,0,High-Value Customers
A_CAFE,4148,0,High-Value Customers
A_CAFE,4206,0,High-Value Customers
A_CAFE,4279,0,High-Value Customers
A_CAFE,4313,0,High-Value Customers
A_CAFE,4416,0,High-Value Customers
A_CAFE,4465,0,High-Value Customers
A_CAFE,4516,0,High-Value Customers
A_CAFE,4526,0,High-Value Customers
A_CAFE,4555,0,High-Value Customers
A_CAFE,4558,0,High-Value Customers
A_CAFE,4585,0,High-Value Customers
A_CAFE,4623,0,High-Value Customers
A_CAFE,4697,0,High-Value Customers
A_CAFE,4710,0,High-Value Customers
A_CAFE,4731,0,High-Value Customers
A_CAFE,4809,0,High-Value Customers
A_CAFE,4824,0,High-Value Customers
A_CAFE,4888,0,High-Value Customers
A_CAFE,4898,0,High-Value Customers
A_CAFE,4958,0,High-Value Customers
A_CAFE,5001,0,High-Value Customers
A_CAFE,5108,0,High-Value Customers
A_CAFE,5174,0,High-Value Customers
A_CAFE,5289,0,High-Value Customers
A_CAFE,5298,0,High-Value Customers
A_CAFE,5319,0,High-Value Customers
A_CAFE,5322,0,High-Value Customers
A_CAFE,5357,0,High-Value Customers
A_CAFE,5511,0,High-Value Customers
A_CAFE,5514,0,High-Value Customers
A_CAFE,5522,0,High-Value Customers
A_CAFE,5569,0,High-Value Customers
A_CAFE,5653,0,High-Value Customers
A_CAFE,5701,0,High-Value Customers
A_CAFE,5740,0,High-Value Customers
A_CAFE,5797,0,High-Value Customers
A_CAFE,5805,0,High-Value Customers
A_CAFE,5831,0,High-Value Customers
A_CAFE,5853,0,High-Value Customers
A_CAFE,5941,0,High-Value Customers
A_CAFE,5960,0,High-Value Customers
A_CAFE,5984,0,High-Value Customers
A_CAFE,6053,0,High-Value Customers
A_CAFE,6058,0,High-Value Customers
A_CAFE,6154,0,High-Value Customers
A_CAFE,6233,0,High-Value Customers
A_CAFE,6347,0,High-Value Customers
A_CAFE,6360,0,High-Value Customers
A_CAFE,6406,0,High-Value Customers
A_CAFE,6459,0,High-Value Customers
A_CAFE,6517,0,High-Value Customers
A_CAFE,6518,0,High-Value Customers
A_CAFE,6540,0,High-Value Customers
A_CAFE,6563,0,High-Value Customers
A_CAFE,6616,0,High-Value Customers
A_CAFE,6892,0,High-Value Customers
A_CAFE,6919,0,High-Value Customers
A_CAFE,6947,0,High-Value Customers
A_CAFE,7014,0,High-Value Customers
A_CAFE,7020,0,High-Value Customers
A_CAFE,7041,0,High-Value Customers
A_CAFE,7058,0,High-Value Customers
A_CAFE,7059,0,High-Value Customers
A_CAFE,7088,0,High-Value Customers
A_CAFE,7192,0,High-Value Customers
A_CAFE,7234,0,High-Value Customers
A_CAFE,7248,0,High-Value Customers
A_CAFE,7300,0,High-Value Customers
A_CAFE,7301,0,High-Value Customers
A_CAFE,7310,0,High-Value Customers
A_CAFE,7330,0,High-Value Customers
A_CAFE,7395,0,High-Value Customers
A_CAFE,7453,0,High-Value Customers
A_CAFE,7475,0,High-Value Customers
A_CAFE,7550,0,High-Value Customers
A_CAFE,7851,0,High-Value Customers
A_CAFE,7877,0,High-Value Customers
A_CAFE,7964,0,High-Value Customers
A_CAFE,7979,0,High-Value Customers
A_CAFE,8001,0,High-Value Customers
A_CAFE,8058,0,High-Value Customers
A_CAFE,8164,0,High-Value Customers
A_CAFE,8267,0,High-Value Customers
A_CAFE,8331,0,High-Value Customers
A_CAFE,8334,0,High-Value Customers
A_CAFE,8377,0,High-Value Customers
A_CAFE,8506,0,High-Value Customers
A_CAFE,8633,0,High-Value Customers
A_CAFE,8682,0,High-Value Customers
A_CAFE,8919,0,High-Value Customers
A_CAFE,9041,0,High-Value Customers
A_CAFE,9186,0,High-Value Customers
A_CAFE,9218,0,High-Value Customers
A_CAFE,9347,0,High-Value Customers
A_CAFE,9360,0,High-Value Customers
A_CAFE,9474,0,High-Value Customers
A_CAFE,9480,0,High-Value Customers
A_CAFE,9499,0,High-Value Customers
A_CAFE,9508,0,High-Value Customers
A_CAFE,9579,0,High-Value Customers
A_CAFE,9600,0,High-Value Customers
A_CAFE,9724,0,High-Value Customers
A_CAFE,9740,0,High-Value Customers
A_CAFE,9869,0,High-Value Customers
A_CAFE,9916,0,High-Value Customers
A_CAFE,9983,0,High-Value Customers
A_CAFE,10004,0,High-Value Customers
A_CAFE,10126,0,High-Value Customers
A_CAFE,10141,0,High-Value Customers
A_CAFE,10145,0,High-Value Customers
A_CAFE,10179,0,High-Value Customers
A_CAFE,10253,0,High-Value Customers
A_CAFE,10259,0,High-Value Customers
A_CAFE,10356,0,High-Value Customers
A_CAFE,10371,0,High-Value Customers
A_CAFE,10485,0,High-Value Customers
A_CAFE,10514,0,High-Value Customers
A_CAFE,10538,0,High-Value Customers
A_CAFE,10581,0,High-Value Customers
A_CAFE,10695,0,High-Value Customers
A_CAFE,10709,0,High-Value Customers
A_CAFE,10813,0,High-Value Customers
A_CAFE,10826,0,High-Value Customers
A_CAFE,10866,0,High-Value Customers
A_CAFE,10937,0,High-Value Customers
A_CAFE,11096,0,High-Value Customers
A_CAFE,11143,0,High-Value Customers
A_CAFE,11171,0,High-Value Customers
A_CAFE,11177,0,High-Value Customers
A_CAFE,11182,0,High-Value Customers
A_CAFE,11202,0,High-Value Customers
A_CAFE,11232,0,High-Value Customers
A_CAFE,11252,0,High-Value Customers
A_CAFE,11314,0,High-Value Customers
A_CAFE,11405,0,High-Value Customers
A_CAFE,11421,0,High-Value Customers
A_CAFE,11454,0,High-Value Customers
A_CAFE,11475,0,High-Value Customers
A_CAFE,11505,0,High-Value Customers
A_CAFE,11550,0,High-Value Customers
A_CAFE,11613,0,High-Value Customers
