from_totally_fake_account,month,total_monthly_spent
1000,1,2576.52
1000,2,2882.33
1000,3,2341.7400000000002
1000,4,1876.77
1000,5,1843.29
1000,6,2553.4
1000,7,2949.72
1000,8,2503.66
1000,9,2173.79
1000,10,2502.73
1000,11,1882.3600000000001
1000,12,2612.2
1002,1,1097.19
1002,2,1412.92
1002,3,1263.27
1002,4,1132.2
1002,5,1520.16
1002,6,1148.55
1002,7,1564.74
1002,8,1066.29
1002,9,1116.11
1002,10,1423.13
1002,11,1277.56
1002,12,1600.85
1006,1,1490.61
1006,2,1281.05
1006,3,1456.04
1006,4,1728.75
1006,5,1640.16
1006,6,1680.62
1006,7,1396.37
1006,8,1747.95
1006,9,1453.79
1006,10,1505.5
1006,11,1643.51
1006,12,1753.84
1018,1,1142.18
1018,2,962.24
1018,3,1107.32
1018,4,1509.97
1018,5,1079.66
1018,6,1675.66
1018,7,1242.67
1018,8,1454.1100000000001
1018,9,1290.47
1018,10,1413.79
1018,11,1164.86
1018,12,1569.28
1053,1,1034.98
1053,2,1770.88
1053,3,1688.23
1053,4,1484.92
1053,5,1532.8
1053,6,1213.7
1053,7,1548.94
1053,8,1886.53
1053,9,1947.08
1053,10,1522.24
1053,11,1640.87
1053,12,2173.4
1059,1,1415.35
1059,2,1390.44
1059,3,1517.45
1059,4,1195.25
1059,5,1798.77
1059,6,1706.48
1059,7,1404.61
1059,8,1227.96
1059,9,1414.28
1059,10,1209.52
1059,11,1417.83
1059,12,1793.51
1071,1,1084.86
1071,2,1036.83
1071,3,927.6
1071,4,773.06
1071,5,1488.57
1071,6,1357.48
1071,7,1059.23
1071,8,859.62
1071,9,1212.34
1071,10,913.34
1071,11,1321.07
1071,12,1471.42
1078,1,1442.11
1078,2,1377.65
1078,3,1341.68
1078,4,1347.58
1078,5,1471.56
1078,6,1086.55
1078,7,1022.18
1078,8,947.03
1078,9,1019.09
1078,10,1122.39
1078,11,1310.64
1078,12,1478.81
1086,1,1558.83
1086,2,1481.21
1086,3,1582.8500000000001
1086,4,1240.71
1086,5,1811.2
1086,6,1724.61
1086,7,1514.6
1086,8,1992.7
1086,9,1381.6
1086,10,1554.49
1086,11,1902.36
1086,12,2468.46
1087,1,1136.89
1087,2,1125.21
1087,3,1618.49
1087,4,1195.72
1087,5,1131.78
1087,6,1538.85
1087,7,1140.3799999999999
1087,8,1347.86
1087,9,1383.8700000000001
1087,10,1145.79
1087,11,1407.28
1087,12,1748.02
1113,1,936.36
1113,2,1041.87
1113,3,955.48
1113,4,872.1899999999999
1113,5,1279.53
1113,6,938.9499999999999
1113,7,915.26
1113,8,947.81
1113,9,904.53
1113,10,830.89
1113,11,1013.84
1113,12,1565.19
1120,1,1426.42
1120,2,1853.94
1120,3,1673.55
1120,4,1728.95
1120,5,1750.3799999999999
1120,6,1555.47
1120,7,1450.7
1120,8,1516.99
1120,9,1397.93
1120,10,1268.84
1120,11,1418.1599999999999
1120,12,1901.19
1122,1,2334.15
1122,2,2897.76
1122,3,2630.43
1122,4,2853.0499999999997
1122,5,2483.54
1122,6,1999.98
1122,7,3057.2799999999997
1122,8,2855.51
1122,9,1660.83
1122,10,2076.48
1122,11,3026.33
1122,12,2941.7400000000002
1125,1,873.28
1125,2,1379.83
1125,3,1628.03
1125,4,950.92
1125,5,1519.44
1125,6,1005.1600000000001
1125,7,1570.76
1125,8,1029.73
1125,9,1009.84
1125,10,1413.07
1125,11,1231.17
1125,12,1314.3700000000001
1133,1,1644.21
1133,2,1725.35
1133,3,1980.99
1133,4,1962.23
1133,5,2024.22
1133,6,2368.6
1133,7,1997.0
1133,8,1719.78
1133,9,1807.8899999999999
1133,10,1858.8600000000001
1133,11,2100.7999999999997
1133,12,1940.48
1142,1,1102.09
1142,2,1034.8899999999999
1142,3,1251.58
1142,4,1124.13
1142,5,1138.44
1142,6,1321.69
1142,7,1146.7
1142,8,1278.92
1142,9,1332.7
1142,10,1274.56
1142,11,1345.44
1142,12,1864.08
1174,1,1368.29
1174,2,1007.83
1174,3,1282.42
1174,4,1131.41
1174,5,1364.97
1174,6,1126.84
1174,7,1294.15
1174,8,1536.79
1174,9,1487.6200000000001
1174,10,1049.63
1174,11,1285.83
1174,12,1844.78
1179,1,2290.29
1179,2,2513.19
1179,3,2388.0099999999998
1179,4,2455.77
1179,5,2742.17
1179,6,2535.3599999999997
1179,7,2439.01
1179,8,2992.12
1179,9,2549.72
1179,10,2218.08
1179,11,2461.67
1179,12,2706.56
1180,1,3111.6600000000003
1180,2,1966.27
1180,3,2304.62
1180,4,2284.61
1180,5,2970.94
1180,6,2776.08
1180,7,2498.4900000000002
1180,8,2560.78
1180,9,2387.54
1180,10,3528.77
1180,11,2558.0299999999997
1180,12,2862.14
1186,1,1569.97
1186,2,1271.64
1186,3,1721.46
1186,4,1633.84
1186,5,1281.74
1186,6,1454.45
1186,7,1229.57
1186,8,1465.15
1186,9,1323.04
1186,10,1381.26
1186,11,1047.07
1186,12,2154.88
1189,1,1270.9
1189,2,1272.47
1189,3,1736.07
1189,4,1571.53
1189,5,1493.89
1189,6,1464.97
1189,7,1521.03
1189,8,1731.99
1189,9,1277.93
1189,10,1668.91
1189,11,1485.12
1189,12,2196.76
1210,1,1083.58
1210,2,1168.24
1210,3,1191.63
1210,4,1210.13
1210,5,1077.73
1210,6,1479.38
1210,7,1177.63
1210,8,1177.78
1210,9,1228.3
1210,10,1352.76
1210,11,1551.31
1210,12,1349.6200000000001
1214,1,3286.03
1214,2,2359.37
1214,3,3703.79
1214,4,3019.13
1214,5,3039.73
1214,6,2805.61
1214,7,3872.16
1214,8,2780.32
1214,9,2408.88
1214,10,3045.57
1214,11,3629.58
1214,12,2608.11
1217,1,1293.88
1217,2,1522.3500000000001
1217,3,1558.03
1217,4,1682.74
1217,5,1643.21
1217,6,1330.11
1217,7,1261.06
1217,8,1527.35
1217,9,1521.25
1217,10,1320.58
1217,11,1630.72
1217,12,1469.95
1234,1,1972.63
1234,2,2103.38
1234,3,2404.4
1234,4,2022.54
1234,5,2380.11
1234,6,2119.64
1234,7,2551.08
1234,8,2266.73
1234,9,2370.58
1234,10,1854.72
1234,11,2155.08
1234,12,2516.93
1255,1,1742.7399999999998
1255,2,1462.97
1255,3,1860.49
1255,4,1386.9
1255,5,1835.2
1255,6,1363.33
1255,7,1621.78
1255,8,848.87
1255,9,1610.83
1255,10,1613.79
1255,11,1510.59
1255,12,1816.95
1258,1,1693.48
1258,2,1184.96
1258,3,1643.18
1258,4,1654.83
1258,5,1423.58
1258,6,1797.53
1258,7,1552.97
1258,8,1416.1499999999999
1258,9,1582.34
1258,10,1750.98
1258,11,1662.78
1258,12,2354.43
1299,1,2420.35
1299,2,1618.81
1299,3,2396.22
1299,4,2018.29
1299,5,1710.55
1299,6,1929.56
1299,7,2359.89
1299,8,1736.98
1299,9,2031.43
1299,10,1706.63
1299,11,1838.92
1299,12,2367.19
1304,1,3159.88
1304,2,3044.9100000000003
1304,3,2813.75
1304,4,1891.01
1304,5,2653.61
1304,6,2310.31
1304,7,2096.13
1304,8,2774.48
1304,9,2716.6
1304,10,2988.45
1304,11,1721.53
1304,12,3351.62
1309,1,3074.25
1309,2,2903.01
1309,3,3256.17
1309,4,3117.39
1309,5,2327.7200000000003
1309,6,3549.42
1309,7,3151.38
1309,8,2560.96
1309,9,2289.37
1309,10,2556.5299999999997
1309,11,2347.77
1309,12,3030.4900000000002
1323,1,1401.18
1323,2,1289.86
1323,3,1591.07
1323,4,1301.59
1323,5,1384.66
1323,6,1416.3799999999999
1323,7,1269.35
1323,8,1555.63
1323,9,1238.29
1323,10,1496.45
1323,11,1399.25
1323,12,1639.46
1357,1,1403.84
1357,2,1183.19
1357,3,1209.63
1357,4,1000.66
1357,5,1508.76
1357,6,1143.19
1357,7,1243.18
1357,8,1192.6499999999999
1357,9,1132.48
1357,10,1508.83
1357,11,1343.92
1357,12,1751.22
1382,1,1431.42
1382,2,1353.3
1382,3,1442.66
1382,4,1367.17
1382,5,1766.45
1382,6,1700.74
1382,7,1686.83
1382,8,1608.7
1382,9,1329.05
1382,10,1566.4
1382,11,1623.67
1382,12,1787.01
1393,1,1231.93
1393,2,1241.42
1393,3,1588.54
1393,4,1512.1
1393,5,1708.71
1393,6,1397.07
1393,7,730.35
1393,8,1274.98
1393,9,1462.9
1393,10,1561.56
1393,11,1405.64
1393,12,1493.3
1399,1,2704.08
1399,2,3014.7599999999998
1399,3,2545.21
1399,4,3416.75
1399,5,2941.44
1399,6,2756.0499999999997
1399,7,3207.5699999999997
1399,8,2389.5299999999997
1399,9,2839.09
1399,10,2501.71
1399,11,2230.74
1399,12,3189.75
1433,1,1810.94
1433,2,1788.42
1433,3,1944.94
1433,4,1875.28
1433,5,1554.5
1433,6,1359.05
1433,7,2221.1
1433,8,1705.43
1433,9,1723.97
1433,10,1751.14
1433,11,1781.41
1433,12,1923.52
1443,1,1338.3
1443,2,1447.41
1443,3,1772.51
1443,4,1200.51
1443,5,1556.89
1443,6,1404.84
1443,7,1732.19
1443,8,1660.1200000000001
1443,9,1612.54
1443,10,1424.12
1443,11,1439.75
1443,12,2183.84
1460,1,1317.28
1460,2,1050.14
1460,3,1418.97
1460,4,1253.28
1460,5,1369.64
1460,6,1457.49
1460,7,1509.27
1460,8,1321.6
1460,9,1314.67
1460,10,1440.49
1460,11,1323.01
1460,12,1677.2
1471,1,2790.2400000000002
1471,2,2463.79
1471,3,2946.7000000000003
1471,4,2504.63
1471,5,2625.3199999999997
1471,6,2282.88
1471,7,3101.58
1471,8,2746.27
1471,9,2676.34
1471,10,2709.7200000000003
1471,11,2874.8
1471,12,3117.28
1487,1,1705.07
1487,2,1118.76
1487,3,1155.93
1487,4,1006.2
1487,5,1639.7
1487,6,1225.41
1487,7,826.0699999999999
1487,8,1231.18
1487,9,1210.14
1487,10,1729.23
1487,11,1476.3
1487,12,1622.68
1489,1,2367.8399999999997
1489,2,1935.3700000000001
1489,3,2100.2999999999997
1489,4,1710.86
1489,5,1833.8
1489,6,2557.21
1489,7,1840.2
1489,8,2525.21
1489,9,2565.79
1489,10,2033.4
1489,11,1700.15
1489,12,2601.31
1490,1,2140.97
1490,2,3008.38
1490,3,2569.28
1490,4,2857.0699999999997
1490,5,2883.98
1490,6,2485.63
1490,7,2844.75
1490,8,2542.85
1490,9,2037.75
1490,10,2860.73
1490,11,3061.57
1490,12,2462.67
1505,1,1245.99
1505,2,1260.34
1505,3,1397.98
1505,4,946.18
1505,5,1536.31
1505,6,1186.88
1505,7,1300.23
1505,8,1748.27
1505,9,1483.24
1505,10,1312.95
1505,11,1075.05
1505,12,2277.2
1507,1,2411.42
1507,2,1754.31
1507,3,2497.92
1507,4,1483.96
1507,5,2022.22
1507,6,2009.78
1507,7,1528.05
1507,8,1841.03
1507,9,1807.49
1507,10,1904.96
1507,11,1972.84
1507,12,1775.95
1529,1,1278.31
1529,2,1325.55
1529,3,1328.56
1529,4,1259.06
1529,5,1797.51
1529,6,1474.37
1529,7,1602.22
1529,8,1334.31
1529,9,1144.54
1529,10,1348.11
1529,11,1426.5
1529,12,1986.12
1563,1,1708.1
1563,2,1421.15
1563,3,1267.85
1563,4,1499.91
1563,5,1654.27
1563,6,1713.11
1563,7,1650.94
1563,8,1879.31
1563,9,1441.71
1563,10,1589.19
1563,11,1663.27
1563,12,1909.21
1569,1,1656.81
1569,2,1511.82
1569,3,1576.4
1569,4,1835.0
1569,5,1742.42
1569,6,1524.81
1569,7,1876.5
1569,8,1375.96
1569,9,1455.09
1569,10,1717.24
1569,11,1840.21
1569,12,2184.01
1572,1,1275.31
1572,2,1578.05
1572,3,1893.17
1572,4,1610.37
1572,5,2036.42
1572,6,1475.91
1572,7,1573.98
1572,8,1545.46
1572,9,1449.73
1572,10,1754.8
1572,11,1663.8
1572,12,2271.54
1596,1,1274.69
1596,2,1138.61
1596,3,1435.4
1596,4,1356.95
1596,5,1519.67
1596,6,1328.24
1596,7,1571.72
1596,8,1472.86
1596,9,1540.78
1596,10,1410.18
1596,11,1432.42
1596,12,2062.79
1607,1,2295.44
1607,2,2209.88
1607,3,2541.8500000000004
1607,4,3036.04
1607,5,3089.6
1607,6,2975.99
1607,7,3125.42
1607,8,3080.37
1607,9,3064.64
1607,10,2357.6
1607,11,3107.41
1607,12,2340.98
1615,1,2345.89
1615,2,2287.3399999999997
1615,3,2787.0499999999997
1615,4,2843.49
1615,5,2392.28
1615,6,3250.46
1615,7,2203.51
1615,8,2946.33
1615,9,2708.78
1615,10,2710.12
1615,11,2862.54
1615,12,2372.12
1622,1,1346.83
1622,2,1402.68
1622,3,1257.46
1622,4,1207.14
1622,5,1320.36
1622,6,1433.22
1622,7,1285.56
1622,8,1360.8700000000001
1622,9,1397.25
1622,10,1530.96
1622,11,1645.9
1622,12,1647.33
1623,1,3457.5
1623,2,2652.92
1623,3,3763.31
1623,4,2751.68
1623,5,2871.91
1623,6,2341.72
1623,7,3420.51
1623,8,3262.1
1623,9,2752.92
1623,10,3065.9
1623,11,2335.47
1623,12,3593.16
1631,1,1311.18
1631,2,1334.26
1631,3,1482.16
1631,4,1618.1
1631,5,1286.65
1631,6,1425.7
1631,7,1683.89
1631,8,1503.73
1631,9,1578.31
1631,10,1254.19
1631,11,1409.31
1631,12,1663.22
1634,1,3398.85
1634,2,2841.67
1634,3,3004.89
1634,4,2087.15
1634,5,2620.75
1634,6,2224.9900000000002
1634,7,2312.77
1634,8,3126.87
1634,9,2178.45
1634,10,2953.98
1634,11,3064.2999999999997
1634,12,2152.92
1639,1,1745.64
1639,2,1397.23
1639,3,1662.2
1639,4,1727.8700000000001
1639,5,1880.48
1639,6,1762.71
1639,7,1462.59
1639,8,1573.09
1639,9,1771.44
1639,10,1671.65
1639,11,1644.34
1639,12,2025.99
1642,1,1685.42
1642,2,1953.55
1642,3,1889.3899999999999
1642,4,1823.52
1642,5,2119.07
1642,6,1744.53
1642,7,2247.48
1642,8,2215.54
1642,9,1699.6699999999998
1642,10,2146.07
1642,11,2047.28
1642,12,2231.25
1644,1,1306.27
1644,2,1550.67
1644,3,1354.49
1644,4,1165.25
1644,5,1675.55
1644,6,1020.13
1644,7,1406.8
1644,8,1594.49
1644,9,1473.31
1644,10,1364.8
1644,11,1338.44
1644,12,1506.35
1661,1,2202.04
1661,2,1673.97
1661,3,2182.73
1661,4,1669.09
1661,5,2471.77
1661,6,2058.77
1661,7,1734.24
1661,8,1771.54
1661,9,1966.42
1661,10,1885.8
1661,11,1542.3
1661,12,2167.26
1675,1,2195.29
1675,2,2738.77
1675,3,2262.13
1675,4,2266.16
1675,5,2817.28
1675,6,2376.17
1675,7,2961.4700000000003
1675,8,2781.17
1675,9,3199.6200000000003
1675,10,2615.87
1675,11,2090.75
1675,12,2328.06
1689,1,2487.54
1689,2,2169.2
1689,3,2642.5
1689,4,2640.87
1689,5,2975.4500000000003
1689,6,2911.15
1689,7,2703.1
1689,8,2976.24
1689,9,2761.17
1689,10,2613.82
1689,11,2982.57
1689,12,2914.5699999999997
1697,1,1568.65
1697,2,1472.0
1697,3,1341.8700000000001
1697,4,1551.21
1697,5,1479.98
1697,6,1369.53
1697,7,1321.24
1697,8,1403.04
1697,9,1546.35
1697,10,1378.42
1697,11,1342.05
1697,12,1685.22
1703,1,1790.82
1703,2,1671.76
1703,3,1460.16
1703,4,1577.15
1703,5,1963.23
1703,6,1704.99
1703,7,1879.02
1703,8,1919.62
1703,9,1525.52
1703,10,2262.2400000000002
