from_totally_fake_account,year,total_year_spent
1000,2025,28698.51
1002,2025,15622.97
1006,2025,18778.19
1018,2025,15612.21
1053,2025,19444.57
1059,2025,17491.45
1071,2025,13505.42
1078,2025,14967.27
1086,2025,20213.62
1087,2025,15920.14
1113,2025,12201.9
1120,2025,18942.52
1122,2025,30817.08
1125,2025,14925.6
1133,2025,23130.41
1142,2025,15215.22
1174,2025,15780.56
1179,2025,30291.95
1180,2025,31809.93
1186,2025,17534.07
1189,2025,18691.57
1210,2025,15048.09
1214,2025,36558.28
1217,2025,17761.23
1234,2025,26717.82
1255,2025,18674.44
1258,2025,19717.21
1299,2025,24134.82
1304,2025,31522.28
1309,2025,34164.46
1323,2025,16983.17
1357,2025,15621.55
1382,2025,18663.4
1393,2025,16608.5
1399,2025,33736.68
1433,2025,21439.7
1443,2025,18773.02
1460,2025,16453.04
1471,2025,32839.55
1487,2025,15946.67
1489,2025,25771.44
1490,2025,31755.63
1505,2025,16770.62
1507,2025,23009.93
1529,2025,17305.16
1563,2025,19398.02
1569,2025,20296.27
1572,2025,20128.54
1596,2025,17544.31
1607,2025,33225.22
1615,2025,31709.91
1622,2025,16835.56
1623,2025,36269.1
1631,2025,17550.7
1634,2025,31967.59
1639,2025,20325.23
1642,2025,23802.77
1644,2025,16756.55
1661,2025,23325.93
1675,2025,30632.74
1689,2025,32778.18
1697,2025,17459.56
1703,2025,21961.06
1715,2025,21646.28
1717,2025,29207.1
1718,2025,33306.65
1730,2025,15726.69
1736,2025,17135.69
1757,2025,17928.99
1784,2025,23255.01
1786,2025,29889.97
1793,2025,18294.55
1799,2025,20347.13
1800,2025,14413.51
1808,2025,23023.57
1815,2025,18166.63
1823,2025,33277.73
1827,2025,22726.24
1828,2025,16274.79
1835,2025,14682.66
1838,2025,20106.8
1908,2025,33626.64
1910,2025,19269.42
1931,2025,18288.91
1990,2025,22465.03
2004,2025,16821.18
2019,2025,28724.67
2029,2025,21083.55
2030,2025,29651.97
2035,2025,27124.66
2044,2025,14818.22
2069,2025,33665.23
2071,2025,32943.19
2076,2025,35564.2
2090,2025,17044.52
2097,2025,14900.14
2100,2025,18969.94
2108,2025,22089.86
2116,2025,14102.76
2126,2025,19806.16
2137,2025,17533.36
2152,2025,13922.75
2171,2025,32269.08
2182,2025,28669.1
2211,2025,17311.56
2213,2025,20224.69
2214,2025,20603.91
2236,2025,20731.14
2249,2025,17870.68
2258,2025,19982.12
2260,2025,17847.37
2274,2025,18249.74
2288,2025,16508.66
2294,2025,32773.8
2306,2025,19221.16
2308,2025,35890.96
2315,2025,22214.15
2331,2025,34855.82
2369,2025,32209.19
2387,2025,19485.3
2390,2025,22784.38
2430,2025,31815.87
2440,2025,17761.12
2446,2025,14235.41
2486,2025,28395.53
2487,2025,18175.21
2493,2025,17378.37
2518,2025,24575.84
2528,2025,33069.21
2538,2025,27277.3
2574,2025,14384.52
2580,2025,32656.87
2585,2025,32061.86
2632,2025,17025.61
2641,2025,25033.4
2647,2025,33884.86
2663,2025,20666.82
2666,2025,19717.02
2677,2025,19489.51
2710,2025,24874.24
2711,2025,19016.85
2719,2025,23375.32
2760,2025,20054.65
2767,2025,16956.579999999998
2771,2025,36952.71
2778,2025,23477.75
2779,2025,25135.13
2795,2025,36172.51
2817,2025,14928.12
2838,2025,30309.85
2844,2025,23568.54
2852,2025,18549.72
2854,2025,32613.78
2858,2025,30834.33
2862,2025,32288.65
2876,2025,11854.07
2881,2025,31298.91
2888,2025,20445.41
2895,2025,34191.69
2910,2025,28651.0
2984,2025,18103.8
2987,2025,17553.37
2997,2025,17400.91
3017,2025,21152.34
3045,2025,18638.03
3048,2025,35731.58
3070,2025,19094.11
3083,2025,14990.2
3093,2025,21942.75
3102,2025,30216.65
3107,2025,21542.81
3109,2025,27240.35
3142,2025,21960.29
3143,2025,20784.88
3145,2025,22449.68
3158,2025,28444.96
3217,2025,16702.24
3226,2025,33912.79
3237,2025,34269.69
3241,2025,30909.21
3252,2025,21059.670000000002
3269,2025,16837.26
3285,2025,18988.48
3287,2025,33616.3
3291,2025,34540.3
3296,2025,23500.66
3317,2025,15717.31
3329,2025,19557.82
3362,2025,30569.91
3378,2025,25491.84
3381,2025,13336.64
3395,2025,17434.31
3402,2025,20429.34
3417,2025,31733.329999999998
3431,2025,20408.93
3456,2025,33398.08
3458,2025,41919.88
3465,2025,36239.6
3472,2025,21078.79
3498,2025,25300.99
3512,2025,35466.659999999996
3521,2025,14514.4
3559,2025,17762.96
3575,2025,35033.42
3577,2025,17419.8
3580,2025,17397.37
3582,2025,17737.11
3599,2025,30014.09
3602,2025,24630.09
3615,2025,20885.33
3634,2025,18177.61
3638,2025,17695.74
3642,2025,13509.83
3650,2025,14462.29
3675,2025,18291.98
3694,2025,16957.63
3704,2025,31744.49
3712,2025,34334.19
3765,2025,16636.66
3776,2025,32095.23
3786,2025,34324.3
3795,2025,15937.9
3800,2025,21162.59
3822,2025,16894.22
3838,2025,30390.99
3868,2025,21718.13
3880,2025,17396.75
3890,2025,19348.63
3896,2025,24500.2
3905,2025,16019.58
3907,2025,17261.24
3934,2025,22410.739999999998
3939,2025,22337.7
3958,2025,14586.51
3970,2025,28414.19
3994,2025,29117.39
4009,2025,15979.49
4018,2025,23799.98
4021,2025,20080.02
4044,2025,23234.48
4047,2025,13610.2
4081,2025,28706.88
4083,2025,31567.39
4106,2025,34062.19
4107,2025,20105.2
4125,2025,28881.43
4141,2025,22989.57
4142,2025,32792.85
4148,2025,32158.42
4154,2025,25783.13
4171,2025,12692.85
4177,2025,17072.81
4206,2025,33653.57
4212,2025,15566.449999999999
4230,2025,15020.61
4239,2025,34687.68
4265,2025,22582.13
4276,2025,20914.14
4279,2025,25841.9
4301,2025,16424.04
4305,2025,19456.8
4309,2025,35887.520000000004
4313,2025,32840.07
4324,2025,16299.87
4336,2025,16544.22
4343,2025,16982.67
4386,2025,17852.83
4403,2025,17756.18
4416,2025,13757.2
4428,2025,14531.78
4463,2025,19614.08
4465,2025,28244.18
4490,2025,33763.73
4494,2025,19863.41
4497,2025,21225.21
4498,2025,31654.95
4511,2025,20528.8
4516,2025,15816.28
4518,2025,17162.31
4526,2025,29924.91
4548,2025,32166.85
4549,2025,19852.23
4555,2025,18050.87
4558,2025,31648.71
4559,2025,11359.88
4571,2025,32430.68
4572,2025,19316.22
4585,2025,17842.94
4614,2025,20009.27
4621,2025,16263.05
4623,2025,16718.55
4651,2025,14385.710000000001
4655,2025,28475.59
4686,2025,21364.51
4690,2025,34624.93
4691,2025,24475.829999999998
4695,2025,21722.11
4697,2025,34008.8
4708,2025,13994.69
4710,2025,20585.36
4717,2025,22167.13
4731,2025,30578.3
4739,2025,15381.72
4754,2025,16872.38
4759,2025,22952.83
4767,2025,17304.53
4809,2025,22944.84
4815,2025,20066.48
4818,2025,16484.28
4819,2025,20783.06
4820,2025,19975.09
4823,2025,19818.89
4824,2025,34096.64
