from_totally_fake_account,year,accessory,alcohol,bar,book,butcher,cafe,children,clothes,electronics,entertainment,flower,greengrocer,home store,pet,restaurant,sport,supermarket,takeaway,tea,total,ratio of entertainment,ratio of cafe,ratio of bar,ratio of restaurant,ratio of electronics,ratio of pet,ratio of takeaway,ratio of clothes,ratio of supermarket,ratio of children,ratio of alcohol,ratio of book,ratio of tea,ratio of sport,ratio of butcher,ratio of greengrocer,ratio of home store,ratio of flower,ratio of accessory
1000.0,2025,0,114.97999999999999,4611.9,8,0.0,2023.3799999999999,92,213,178,326.88,0,0.0,0,529,806.1800000000001,0,681.9300000000001,900.21,0.0,10485.46,3.1174597967089666,19.297007475113155,43.98376418392708,7.688551575228937,1.697588851609753,5.045081474727862,8.58531719161582,2.031384412319536,6.503577334709208,0.8774054738657151,1.096566102011738,0.07629612816223609,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1002.0,2025,0,154.97,4459.47,0,0.0,525.11,99,282,727,242.88,0,0.0,0,0,665.94,62,1045.61,871.23,20.46,9155.67,2.652782374200905,5.735353065368236,48.707194558126275,7.273525585784547,7.94043472514846,0.0,9.51574270370164,3.0800585866463077,11.420354818380304,1.081297163397108,1.6926123374914126,0.0,0.2234680804354023,0.677176001319401,0.0,0.0,0.0,0.0,0.0
1006.0,2025,0,107.95,4184.3,412,1484.98,2075.95,598,558,455,674.88,0,1429.71,0,0,974.1800000000001,0,931.2,797.98,31.36,14715.490000000002,4.586187751817982,14.107243455705515,28.43466306592577,6.6200989569494455,3.091979947660594,0.0,5.422721227767475,3.7919226610870584,6.3280257742011985,4.063745074068209,0.7335807370328816,2.7997708537058568,0.21310877177722248,0.0,10.091271170718745,9.71568055158204,0.0,0.0,0.0
1018.0,2025,0,39.989999999999995,2523.5,20,1016.0,85.33,59,2009,128,7.0,0,962.75,71,30,1577.43,84,2436.22,0.0,255.29,11304.51,0.0619221885778331,0.7548314787637854,22.32294898230883,13.953988275475895,1.1322914482803765,0.26538080819071325,0.0,17.771668121838097,21.550867751012646,0.5219155894417361,0.3537526173182207,0.17692053879380884,2.258302217433573,0.7430662629339971,8.98756337072549,8.516512436186972,0.6280679127180214,0.0,0.0
1053.0,2025,0,179.96999999999997,3875.21,0,18.0,819.48,133,2561,518,409.88,0,14.0,294,0,2054.12,115,1499.22,614.7,33.64,13139.22,3.1195154659104576,6.236899907300434,29.493455471481568,15.633500314326119,3.942395362890644,0.0,4.678359902642623,19.491263560546212,11.410266362843458,1.0122366472286788,1.3697160105394381,0.0,0.256027374532126,0.8752422137691583,0.13699443345952042,0.10655122602407144,2.2375757465055006,0.0,0.0
1059.0,2025,0,10.0,4251.98,480,0.0,573.43,1012,637,603,209.0,0,0.0,0,0,883.42,206,1085.49,687.36,70.91,10709.59,1.9515219536882364,5.354359970829882,39.7025469695852,8.248868537451013,5.630467646287113,0.0,6.418172871230364,5.947940117222041,10.135682131622218,9.449474723121988,0.09337425615733189,4.48196429555193,0.6621168504116404,1.9235096768410367,0.0,0.0,0.0,0.0,0.0
1071.0,2025,0,184.95,3297.79,35,30.0,566.01,13,326,1232,214.88,0,0.0,0,0,886.39,803,1200.44,575.11,0.0,9364.570000000002,2.294606159172284,6.044164334294046,35.21560520130662,9.465357192054732,13.155969788255092,0.0,6.141339111139112,3.4812062913726947,12.818954847900116,0.13882110977866574,1.9749972502741713,0.37374914171179235,0.0,8.574873165559122,0.3203564071815363,0.0,0.0,0.0,0.0
1078.0,2025,0,33.989999999999995,3426.94,0,207.0,631.34,927,286,196,422.88,0,265.0,0,0,724.73,161,5526.39,833.65,0.0,13641.92,3.0998569116370716,4.6279409350003515,25.12065750275621,5.312521991039384,1.4367479064530506,0.0,6.110943327625437,2.0964790879876145,40.51035338134222,6.7952311698060095,0.24915847622622034,0.0,0.0,1.18018578030072,1.5173817175294975,1.9425418122962164,0.0,0.0,0.0
1086.0,2025,0,283.95,3804.72,25,1222.0,540.9499999999999,633,2233,320,771.88,0,1209.78,210,60,889.44,0,2206.94,941.0,79.55,15431.21,5.002070479243041,3.5055578920901214,24.656005588673864,5.763903154710487,2.073719429649392,0.3888223930592611,6.098031197812745,14.470673395022168,14.301794868970093,4.102076246775205,1.840101975152953,0.1620093304413588,0.5155136894644036,0.0,7.919016071973617,7.839825911253881,1.3608783757074139,0.0,0.0
1087.0,2025,0,29.99,4761.25,43,0.0,2163.77,0,217,157,6.0,0,0.0,0,0,719.93,0,801.15,964.5,0.0,9863.59,0.06082977901555113,21.93694182341318,48.270964222965475,7.2988638011109535,1.5917125509069214,0.0,9.778386976749845,2.2000103410624328,8.122296243051466,0.0,0.30404751211272973,0.4359467496114498,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1113.0,2025,0,10.0,4258.06,0,166.0,595.26,0,75,616,68.0,0,169.0,0,0,1558.33,0,2347.44,595.51,45.0,10503.6,0.6473970829049088,5.667199817205529,40.53905327697171,14.836151414753035,5.864655927491526,0.0,5.669579953539738,0.714040900262767,22.348908945504398,0.0,0.09520545336836894,0.0,0.4284245401576602,0.0,1.5804105259149241,1.6089721619254351,0.0,0.0,0.0
1120.0,2025,0,64.97,2989.73,0,1293.3,658.11,814,586,74,351.0,0,1283.91,0,0,755.35,0,1138.05,787.36,0.0,10795.779999999999,3.2512704038059317,6.095993063956473,27.693506166298317,6.996715383233079,0.685453019605809,0.0,7.2932201286058085,5.428046884986542,10.54161904003231,7.5399832156638995,0.6018092254566136,0.0,0.0,0.0,11.97968094940801,11.892702518947221,0.0,0.0,0.0
1122.0,2025,0,96.98,3200.0,0,0.0,658.35,560,295,830,271.0,0,0.0,5,0,1741.49,0,2849.64,0.0,458.57,10966.029999999999,2.4712680888160987,6.003540023144201,29.181025402994525,15.880769977831541,7.5688284639017045,0.0,0.0,2.690125779338558,25.98606788418416,5.106679445524041,0.8843674511195029,0.0,4.181732130953499,0.0,0.0,0.0,0.04559535219217894,0.0,0.0
1125.0,2025,0,209.95,3807.08,474,55.0,604.39,0,578,6,5.0,0,28.0,0,0,535.35,736,1576.0,803.66,0.0,9418.43,0.053087404163963625,6.417099240531596,40.42159892890853,5.6840683638355864,0.06370488499675635,0.0,8.532844646082202,6.136903921354196,16.733149792481335,0.0,2.2291401008448326,5.032685914743753,0.0,7.814465892935446,0.5839614458036,0.29728946331819633,0.0,0.0,0.0
1133.0,2025,0,123.96,2862.64,15,154.0,786.21,0,87,154,248.88,0,200.0,0,240,2143.68,0,4012.13,1088.58,0.0,12116.08,2.0541297185228227,6.4889799341040995,23.626783580167842,17.692851153178253,1.271038157555909,1.9808386871001182,8.98458907501436,0.7180540240737929,33.114093006979154,0.0,1.023103181887211,0.12380241794375739,0.0,0.0,1.271038157555909,1.6506989059167654,0.0,0.0,0.0
1142.0,2025,0,68.99000000000001,4265.13,655,144.0,311.3,131,0,0,35.0,0,141.0,0,2,688.38,0,1474.93,1060.61,42.72,9020.06,0.38802402644771766,3.4511965552335577,47.28494045494154,7.631656552173712,0.0,0.022172801511298152,11.758347505448965,0.0,16.351665066529492,1.452318498990029,0.7648507881322298,7.261592494950145,0.47361104028132855,0.0,1.596441708813467,1.5631825065465197,0.0,0.0,0.0
1174.0,2025,0,29.99,4065.77,533,40.0,640.35,93,208,127,240.88,0,18.0,0,15,930.44,0,1222.41,798.77,0.0,8962.61,2.687609970756286,7.144682185211673,45.36368312355441,10.38135096807738,1.4169979503738308,0.16736196264257844,8.912247660000824,2.320752548643754,13.638995783594288,1.0376441683839863,0.3346123506433952,5.94692840589962,0.0,0.0,0.44629856704687587,0.20083435517109413,0.0,0.0,0.0
