from_totally_fake_account,recency,frequency,monetary,r_score,f_score,m_score
1000,0,1710,28698.51,1,4,3
1002,0,1043,15622.97,1,2,1
1006,0,1841,18778.19,1,4,2
1018,1,805,15612.21,2,1,1
1053,0,1319,19444.57,1,3,2
1059,0,1004,17491.45,1,2,1
1071,0,930,13505.42,1,1,1
1078,0,958,14967.27,1,1,1
1086,0,1210,20213.62,1,3,2
1087,0,1703,15920.14,1,4,1
1113,0,983,12201.9,1,1,1
1120,0,1001,18942.52,1,2,2
1122,1,938,30817.08,2,1,4
1125,0,923,14925.6,1,1,1
1133,0,1170,23130.41,1,3,3
1142,1,906,15215.22,2,1,1
1174,0,1084,15780.56,1,2,1
1179,0,1162,30291.95,1,3,4
1180,0,1185,31809.93,1,3,4
1186,0,1068,17534.07,1,2,1
1189,0,1282,18691.57,1,3,2
1210,0,837,15048.09,1,1,1
1214,0,1589,36558.28,1,4,4
1217,4,895,17761.23,3,1,2
1234,0,952,26717.82,1,1,3
1255,1,1048,18674.44,2,2,2
1258,0,1093,19717.21,1,2,2
1299,0,1196,24134.82,1,3,3
1304,1,1194,31522.28,2,3,4
1309,0,1180,34164.46,1,3,4
1323,1,1163,16983.17,2,3,1
1357,0,1002,15621.55,1,2,1
1382,2,1219,18663.4,2,3,2
1393,0,903,16608.5,1,1,1
1399,0,974,33736.68,1,1,4
1433,0,1368,21439.7,1,3,3
1443,0,1140,18773.02,1,2,2
1460,0,1811,16453.04,1,4,1
1471,0,1183,32839.55,1,3,4
1487,3,753,15946.67,3,1,1
1489,0,959,25771.44,1,1,3
1490,0,1655,31755.63,1,4,4
1505,0,1096,16770.62,1,2,1
1507,0,1700,23009.93,1,4,3
1529,1,953,17305.16,2,1,1
1563,0,2015,19398.02,1,4,2
1569,0,1543,20296.27,1,4,2
1572,0,1157,20128.54,1,3,2
1596,1,1154,17544.31,2,2,1
1607,0,1737,33225.22,1,4,4
1615,0,1640,31709.91,1,4,4
1622,3,771,16835.56,3,1,1
1623,1,1192,36269.1,2,3,4
1631,0,1948,17550.7,1,4,1
1634,0,745,31967.59,1,1,4
1639,0,951,20325.23,1,1,2
1642,0,1657,23802.77,1,4,3
1644,0,1620,16756.55,1,4,1
1661,0,847,23325.93,1,1,3
1675,0,1101,30632.74,1,2,4
1689,1,1400,32778.18,2,3,4
1697,0,1823,17459.56,1,4,1
1703,0,2064,21961.06,1,4,3
1715,0,1053,21646.28,1,2,3
1717,0,930,29207.1,1,1,4
1718,0,1047,33306.65,1,2,4
1730,0,1624,15726.69,1,4,1
1736,0,993,17135.69,1,2,1
1757,0,742,17928.99,1,1,2
1784,0,981,23255.01,1,1,3
1786,0,1291,29889.97,1,3,4
1793,0,1105,18294.55,1,2,2
1799,1,1152,20347.13,2,2,2
1800,0,846,14413.51,1,1,1
1808,0,1605,23023.57,1,4,3
1815,0,999,18166.63,1,2,2
1823,0,1975,33277.73,1,4,4
1827,0,1116,22726.24,1,2,3
1828,0,1106,16274.79,1,2,1
1835,2,1052,14682.66,2,2,1
1838,0,1131,20106.8,1,2,2
1908,0,880,33626.64,1,1,4
1910,1,1705,19269.42,2,4,2
1931,0,1591,18288.91,1,4,2
1990,0,1074,22465.03,1,2,3
2004,2,735,16821.18,2,1,1
2019,0,948,28724.67,1,1,3
2029,1,1035,21083.55,2,2,3
2030,0,1334,29651.97,1,3,4
2035,0,1333,27124.66,1,3,3
2044,0,942,14818.22,1,1,1
2069,0,770,33665.23,1,1,4
2071,0,1634,32943.19,1,4,4
2076,0,1900,35564.2,1,4,4
2090,0,855,17044.52,1,1,1
2097,0,1182,14900.14,1,3,1
2100,0,1711,18969.94,1,4,2
2108,0,1578,22089.86,1,4,3
2116,0,1644,14102.76,1,4,1
2126,0,1094,19806.16,1,2,2
2137,0,1696,17533.36,1,4,1
2152,0,1538,13922.75,1,4,1
2171,0,1057,32269.08,1,2,4
2182,0,971,28669.1,1,1,3
2211,0,1146,17311.56,1,2,1
2213,0,1159,20224.69,1,3,2
2214,0,1160,20603.91,1,3,2
2236,0,1349,20731.14,1,3,2
2249,0,960,17870.68,1,1,2
2258,1,983,19982.12,2,1,2
